TERM,SNOMED_ID,MEDIAN_DIAGNOSIS_AGE,MEDIAN_SNOMED_AGE,N_PATIENT_COUNT,N_PATIENT_COUNT_TOTAL,PREVALENCE,TOTAL_EVENT_COUNT,AVG_EVENTS_PER_PATIENT,AVG_VALUE,MEDIAN_VALUE,STD_VALUE,FREQ_VALUE
Drug monitoring done,408359002,74.000,73.000,50,6480,0.007716,63,1.26,NaN,NaN,,NaN
GPPAQ usual level of walking pace - brisk,1746521000006101,68.000,67.000,50,6480,0.007716,51,1.02,,,,
Brief intervention for excessive alcohol consumption completed,366371000000105,72.000,71.000,50,6480,0.007716,53,1.06,NaN,NaN,NaN,NaN
FVC/Expected FVC percent,407576000,71.000,71.000,50,6480,0.007716,53,1.06,NaN,86.064,NaN,72
Avoids even trivial exercise,160630000,74.000,73.500,50,6480,0.007716,54,1.08,NaN,NaN,NaN,NaN
COPD self-management plan given,390891009,76.000,75.000,50,6480,0.007716,59,1.18,NaN,NaN,NaN,NaN
Education about self management of diabetes,698610002,74.000,73.000,50,6480,0.007716,55,1.1,NaN,NaN,NaN,NaN
Hypothyroidism,40930008,73.000,72.000,50,6480,0.007716,75,1.5,NaN,NaN,NaN,NaN
Seen by pharmacy technician,143651000000103,83.500,82.500,50,6480,0.007716,104,2.08,NaN,NaN,NaN,NaN
Moderate chronic obstructive pulmonary disease,313297008,75.000,75.000,49,6480,0.007562,73,1.49,NaN,NaN,NaN,NaN
Interpreter not needed,315595002,74.000,73.000,49,6480,0.007562,57,1.16,,,,
Serum appearance,314037008,67.500,67.000,49,6480,0.007562,78,1.59,NaN,NaN,NaN,NaN
Seen by first contact physiotherapist,1239501000000102,77.500,77.000,49,6480,0.007562,66,1.35,NaN,NaN,NaN,NaN
Diabetes monitoring second letter,185757002,74.000,74.000,49,6480,0.007562,53,1.08,NaN,NaN,NaN,NaN
Saturation of iron binding capacity,1009301000000107,79.500,79.000,49,6480,0.007562,60,1.22,62.052631579,60,13.642895918,60
Hypertensive disease,38341003,70.000,69.000,49,6480,0.007562,123,2.51,,,,
Faecal occult blood test,1015401000000102,75.000,74.500,49,6480,0.007562,70,1.43,NaN,12.7,NaN,7
Lipid lowering therapy declined,135826008,78.000,77.500,49,6480,0.007562,52,1.06,NaN,NaN,NaN,NaN
ESR - erythrocyte sedimentation rate,1022511000000103,72.000,71.000,49,6480,0.007562,59,1.2,NaN,8,NaN,2
Alcohol screen - alcohol use disorder identification test consumption questions completed,285441000000106,72.000,71.000,49,6480,0.007562,52,1.06,NaN,1,NaN,0
E-mail received from patient,401270003,77.000,77.000,49,6480,0.007562,85,1.73,NaN,NaN,,NaN
Education about ketoacidosis,846651000000102,72.500,72.000,49,6480,0.007562,54,1.1,NaN,NaN,,NaN
Consent given for communication by short message service text messaging,699237001,74.000,73.000,49,6480,0.007562,52,1.06,NaN,NaN,NaN,NaN
Injection,59108006,74.000,74.000,49,6480,0.007562,142,2.9,NaN,NaN,NaN,NaN
Acute exacerbation of chronic obstructive airways disease,195951007,72.500,72.000,49,6480,0.007562,106,2.16,NaN,NaN,,NaN
"Enteric microscopy, culture and sensitivities",993021000000108,73.000,72.000,49,6480,0.007562,49,1,NaN,NaN,NaN,NaN
Warfarin not indicated,134392003,75.500,74.500,49,6480,0.007562,52,1.06,NaN,NaN,NaN,NaN
Seen by Accident and Emergency service,4525004,79.000,79.000,49,6480,0.007562,89,1.82,NaN,NaN,NaN,NaN
Diabetic foot risk assessment,394683006,77.500,77.000,49,6480,0.007562,54,1.1,NaN,NaN,NaN,NaN
Background diabetic retinopathy,390834004,77.000,76.000,49,6480,0.007562,53,1.08,,,,
Antibiotic therapy indicated,698449007,77.000,77.000,49,6480,0.007562,58,1.18,NaN,NaN,,NaN
Health education - asthma,401135008,74.000,74.000,48,6480,0.007407,53,1.1,NaN,NaN,,NaN
Independent bathing,129041007,80.000,79.000,48,6480,0.007407,53,1.1,NaN,NaN,NaN,NaN
Plasma creatinine level,1001011000000107,75.000,74.000,48,6480,0.007407,73,1.52,95.054794521,90,30.898530355,95
Patient on maximal tolerated therapy for diabetes,407569005,74.000,74.000,48,6480,0.007407,52,1.08,NaN,NaN,NaN,NaN
Seen in out of hours centre,185511000000107,69.000,68.000,48,6480,0.007407,59,1.23,NaN,NaN,,NaN
Pulmonary rehabilitation offered,913981000000106,76.000,75.000,48,6480,0.007407,52,1.08,NaN,NaN,NaN,NaN
Identifying personal goals,713578002,79.000,79.000,48,6480,0.007407,52,1.08,,,,
HbA1c (haemoglobin A1c) target level - IFCC (International Federation of Clinical Chemistry and Laboratory Medicine) standardised,446074002,77.000,76.000,48,6480,0.007407,55,1.15,50.960784314,48,10.417218025,58
Appointment made by telephone,185420007,80.000,79.000,48,6480,0.007407,79,1.65,NaN,NaN,,NaN
Microalbuminuria,312975006,78.000,77.500,48,6480,0.007407,54,1.13,NaN,NaN,NaN,NaN
Presence of bacteria,993841000000106,67.000,67.000,48,6480,0.007407,73,1.52,7512.077419355,359.65,15794.328923076,35
Seen by urologist,305729009,76.000,76.000,48,6480,0.007407,57,1.19,NaN,NaN,NaN,NaN
Novel oral anticoagulant monitoring,1929101000006101,78.000,78.000,48,6480,0.007407,81,1.69,NaN,NaN,NaN,NaN
Colonoscopy,174184006,75.000,75.000,48,6480,0.007407,53,1.1,NaN,NaN,NaN,NaN
Personal care plan completed,523051000000100,77.500,77.000,47,6480,0.007253,52,1.11,NaN,NaN,NaN,NaN
O/E - fully conscious,162701007,75.500,74.500,47,6480,0.007253,56,1.19,NaN,NaN,,NaN
Message given to patient,24431000000100,74.000,73.500,47,6480,0.007253,74,1.57,NaN,NaN,NaN,NaN
Offer of statin therapy,939651000000103,72.000,71.500,47,6480,0.007253,50,1.06,NaN,NaN,NaN,NaN
Ca cervix - screening done,268543007,57.000,56.500,47,6480,0.007253,50,1.06,NaN,NaN,,NaN
Seen by care coordinator,148481000000101,77.000,76.000,47,6480,0.007253,77,1.64,NaN,NaN,NaN,NaN
Sitting systolic blood pressure,407554009,77.000,77.000,47,6480,0.007253,55,1.17,133,130,20.653221433,140
Not interested in stopping smoking,394873005,67.000,66.000,47,6480,0.007253,48,1.02,NaN,NaN,NaN,NaN
Sitting diastolic blood pressure,407555005,77.000,77.000,47,6480,0.007253,55,1.17,79.727272727,78,14.070529414,78
High risk drug monitoring,268525008,75.000,74.000,47,6480,0.007253,113,2.4,NaN,NaN,NaN,NaN
FH: Ischaemic heart dis. <60,266895004,66.000,66.000,47,6480,0.007253,47,1,NaN,NaN,NaN,NaN
Has a carer,184156005,75.000,74.000,47,6480,0.007253,51,1.09,,,,
Seen in physiotherapy department,185276001,75.000,74.000,47,6480,0.007253,56,1.19,NaN,NaN,NaN,NaN
Medication review due,314529007,75.000,74.500,47,6480,0.007253,64,1.36,,,,
Anti liver kidney microsomal antibody level,996951000000105,71.500,71.500,47,6480,0.007253,50,1.06,NaN,NaN,NaN,NaN
Asthma causes daytime symptoms 1 to 2 times per month,370202007,69.500,69.500,47,6480,0.007253,50,1.06,NaN,NaN,NaN,NaN
Eye symptom,308923001,72.000,72.000,47,6480,0.007253,68,1.45,NaN,NaN,,NaN
Angina pectoris,194828000,74.000,73.000,47,6480,0.007253,76,1.62,NaN,NaN,NaN,NaN
Nursing care blood sample taken,313334002,68.000,68.000,47,6480,0.007253,68,1.45,NaN,NaN,NaN,NaN
Prescription sent to pharmacy,198981000000100,73.000,72.000,47,6480,0.007253,176,3.74,,,,
Hypertension monitoring check done,270440008,73.000,73.000,47,6480,0.007253,63,1.34,NaN,NaN,NaN,NaN
X-ray of lumbar spine,90805008,73.000,73.000,47,6480,0.007253,49,1.04,NaN,NaN,,NaN
Low salt diet education,183063000,72.000,72.000,46,6480,0.007099,47,1.02,NaN,NaN,NaN,NaN
Serum testosterone level,997161000000108,67.000,67.000,46,6480,0.007099,53,1.15,10.746041667,9.415,8.078220454,8.5
Administration of vaccine under patient specific direction,823371000000105,76.500,75.500,46,6480,0.007099,56,1.22,NaN,NaN,NaN,NaN
Inhaler technique - moderate,390869002,76.000,75.000,46,6480,0.007099,49,1.07,NaN,NaN,,NaN
Urine pH test,1019591000000107,70.000,70.000,46,6480,0.007099,65,1.41,5.609609375,6,1.300770927,5
Chronic disease monitoring,170549007,76.000,75.000,46,6480,0.007099,67,1.46,NaN,NaN,NaN,NaN
"Independent housing, not alone",160724009,75.000,75.000,46,6480,0.007099,49,1.07,NaN,NaN,NaN,NaN
Normal mood,134417007,78.000,77.000,46,6480,0.007099,49,1.07,NaN,NaN,NaN,NaN
Bowel cancer screening - negative FOBs,1626201000006100,68.500,68.000,46,6480,0.007099,46,1,NaN,NaN,NaN,NaN
Haemorrhoids,70153002,71.000,70.000,46,6480,0.007099,60,1.3,NaN,NaN,,NaN
Point of care testing,405262001,77.000,77.000,46,6480,0.007099,67,1.46,,,,
Gynaecological referral,183549000,66.000,65.500,46,6480,0.007099,50,1.09,,,,
Declined referral to physical exercise programme,199351000000104,72.000,71.000,46,6480,0.007099,50,1.09,,,,
Total time smoked,228487000,75.000,74.000,46,6480,0.007099,47,1.02,33.234042553,35,16.420047087,40
Serum cholesterol raised,166830008,64.000,63.000,46,6480,0.007099,57,1.24,NaN,7.15,NaN,NaN
Plasma alanine aminotransferase level,1013211000000103,77.000,76.000,45,6480,0.006944,67,1.49,25.507462687,20,27.59906297,17
Oxygen therapy not required,2005431000006100,74.000,74.000,45,6480,0.006944,57,1.27,NaN,NaN,,NaN
MRC Breathlessness Scale: grade 4,391125004,76.000,75.000,45,6480,0.006944,50,1.11,NaN,NaN,NaN,NaN
Urine: trace haemolysed blood,167299009,73.000,73.000,45,6480,0.006944,49,1.09,,,,
Diabetes monitoring administration,713671000000109,70.000,70.000,45,6480,0.006944,83,1.84,,,,
NHS Diabetes Prevention Programme invitation,1090701000000104,75.000,74.000,45,6480,0.006944,53,1.18,NaN,NaN,NaN,NaN
Raised PSA,396152005,73.000,72.000,45,6480,0.006944,57,1.27,NaN,NaN,NaN,NaN
Referral for echocardiography,390791001,79.000,79.000,45,6480,0.006944,53,1.18,,,,
Name of care coordinator,932321000000105,77.000,76.000,45,6480,0.006944,47,1.04,,,,
Investigation result,24641000000107,71.000,71.000,45,6480,0.006944,69,1.53,NaN,NaN,NaN,NaN
Cellulitis of lower limb,449710006,75.000,74.000,45,6480,0.006944,69,1.53,NaN,NaN,NaN,NaN
Gastroscopy,386831001,73.000,72.000,45,6480,0.006944,52,1.16,NaN,NaN,NaN,NaN
Discharged from outpatients,183666007,75.000,75.000,45,6480,0.006944,48,1.07,NaN,NaN,NaN,NaN
No drug side effect reported,395061001,76.000,76.000,45,6480,0.006944,47,1.04,NaN,NaN,NaN,NaN
Sciatica,23056005,69.500,69.000,45,6480,0.006944,70,1.56,NaN,NaN,,NaN
Number of times bronchodilator used per week,1084011000000109,71.000,70.000,45,6480,0.006944,47,1.04,3.70212766,1,9.221701469,0
Chronic obstructive pulmonary disease monitoring,390891009,75.000,74.000,45,6480,0.006944,59,1.31,NaN,NaN,NaN,NaN
Treatment escalation plan,735324008,78.500,78.000,45,6480,0.006944,54,1.2,NaN,NaN,NaN,NaN
Hypertension monitoring SMS (short message service) text message first invitation,1066951000000101,77.500,77.000,45,6480,0.006944,46,1.02,NaN,NaN,,NaN
Patient on maximal tolerated lipid lowering therapy,407568002,78.000,77.000,45,6480,0.006944,47,1.04,NaN,NaN,,NaN
COPD medication review,939991000006108,78.000,77.000,44,6480,0.00679,47,1.07,NaN,NaN,NaN,NaN
Predicted peak flow,271508001,69.000,68.500,44,6480,0.00679,66,1.5,478.03030303,480,100.308135984,401
Atrial fibrillation monitoring first letter,717221000000101,79.000,78.000,44,6480,0.00679,44,1,NaN,NaN,NaN,NaN
Communication from:,185438005,72.000,71.500,44,6480,0.00679,100,2.27,NaN,NaN,,NaN
Depression interim review,413973005,71.000,70.000,44,6480,0.00679,67,1.52,NaN,NaN,,NaN
Informing patient of test result process,858211000000104,76.000,75.500,44,6480,0.00679,68,1.55,NaN,NaN,NaN,NaN
Referral to CPCS (Community Pharmacist Consultation Service),1362511000000107,79.500,79.500,44,6480,0.00679,76,1.73,NaN,NaN,,NaN
Urine glucose test = ++,167265006,75.000,75.000,44,6480,0.00679,47,1.07,NaN,NaN,NaN,NaN
Patient asked to come in,308722001,73.000,73.000,44,6480,0.00679,71,1.61,NaN,NaN,,NaN
Seen by podiatrist,185303007,73.500,73.000,44,6480,0.00679,56,1.27,NaN,NaN,NaN,NaN
Referral,3457005,71.500,71.000,44,6480,0.00679,54,1.23,NaN,NaN,NaN,NaN
GPPAQ hrs last wk spent house work/child care-some but less 1hr,1746401000006105,73.000,72.000,44,6480,0.00679,45,1.02,,,,
Mixed anxiety and depressive disorder,231504006,60.000,60.000,44,6480,0.00679,92,2.09,NaN,NaN,,NaN
B12 injections - at surgery,170823005,77.000,77.000,44,6480,0.00679,119,2.7,,,,
Backache,161891005,74.000,73.000,44,6480,0.00679,59,1.34,NaN,NaN,,NaN
Refer to audiologist,308456006,77.000,76.000,44,6480,0.00679,50,1.14,NaN,NaN,,NaN
Mid-stream urine sample,269949006,71.500,71.000,44,6480,0.00679,56,1.27,NaN,NaN,NaN,NaN
Review of admission avoidance care plan,913721000000107,80.000,80.000,44,6480,0.00679,69,1.57,NaN,NaN,NaN,NaN
Echography of kidney,306005,68.000,68.000,43,6480,0.006636,44,1.02,NaN,NaN,NaN,NaN
ACE inhibitor prophylaxis,315054007,73.000,72.000,43,6480,0.006636,50,1.16,,,,
NHS Health Check invitation short message service text message,980641000000103,63.000,63.000,43,6480,0.006636,57,1.33,NaN,NaN,,NaN
Unsuccessful attempt to contact patient by telephone,294631000000100,73.000,72.000,43,6480,0.006636,51,1.19,,,,
Hearing normal,162339002,79.000,78.000,43,6480,0.006636,50,1.16,NaN,NaN,,NaN
Productive cough,28743005,73.000,72.000,43,6480,0.006636,56,1.3,NaN,NaN,NaN,NaN
Percentage nucleated red blood cells,1015551000000102,77.000,76.000,43,6480,0.006636,75,1.74,NaN,0,NaN,0
GPPAQ hours in last week spent on house work/child care - none,1746391000006108,71.000,71.000,43,6480,0.006636,44,1.02,NaN,NaN,,NaN
Express consent for core Summary Care Record dataset upload,773031000000109,74.000,73.000,43,6480,0.006636,43,1,NaN,NaN,NaN,NaN
Pulse regular,271636001,74.000,73.500,43,6480,0.006636,46,1.07,NaN,NaN,NaN,NaN
Urine protein test,1030631000000106,67.000,66.500,43,6480,0.006636,52,1.21,NaN,NaN,NaN,NaN
Medical photography,169283005,78.000,77.000,43,6480,0.006636,48,1.12,NaN,NaN,NaN,NaN
Plasma potassium level,1017401000000106,76.500,75.500,43,6480,0.006636,68,1.58,4.111764706,4.1,0.3907625197,4
INR - international normalised ratio,165581004,80.000,80.000,43,6480,0.006636,310,7.21,2.759121622,2.6,1.053670536,2.1
Aspirin not indicated,134394002,75.000,75.000,43,6480,0.006636,49,1.14,,,,
Patient registered GMS1,270062001,67.000,66.000,42,6480,0.006481,42,1,NaN,NaN,NaN,NaN
B12/folate level,993171000000106,72.000,71.000,42,6480,0.006481,48,1.14,,,,
Urine test for glucose,1003181000000102,67.000,66.000,42,6480,0.006481,49,1.17,NaN,NaN,NaN,NaN
Seen by practice nurse,185279008,75.000,74.000,42,6480,0.006481,73,1.74,NaN,NaN,NaN,NaN
Target diastolic blood pressure,315613000,73.000,72.000,42,6480,0.006481,43,1.02,83.871794872,80,9.099391209,80
Leucocytes in urine,275741008,70.000,70.000,42,6480,0.006481,55,1.31,NaN,NaN,,NaN
No red flag symptoms,1892731000006100,76.000,75.000,42,6480,0.006481,47,1.12,NaN,NaN,,NaN
Emergency contact details,406548001,78.000,77.000,42,6480,0.006481,42,1,,,,
Hypertension monitoring invitation,310427004,77.500,76.500,42,6480,0.006481,52,1.24,NaN,NaN,,NaN
Sore throat symptom,267102003,71.000,70.000,42,6480,0.006481,45,1.07,NaN,NaN,,NaN
Osteopenia,312894000,70.000,70.000,42,6480,0.006481,48,1.14,NaN,NaN,,NaN
Kidney stone,95570007,75.000,74.000,42,6480,0.006481,56,1.33,NaN,NaN,NaN,NaN
Urine screening normal,171250001,72.500,71.500,42,6480,0.006481,46,1.1,NaN,NaN,NaN,NaN
Urine glucose test = +,167264005,70.000,69.000,42,6480,0.006481,44,1.05,,,,
Minor surgery done + claimable,314471005,69.000,68.500,42,6480,0.006481,46,1.1,,,,
Lifestyle advice,856861000006109,76.500,76.000,42,6480,0.006481,42,1,NaN,NaN,NaN,NaN
Body mass index 30+ - obesity,162864005,68.000,67.000,41,6480,0.006327,43,1.05,NaN,37.86,NaN,NaN
Plasma sodium level,1017381000000106,75.500,74.500,41,6480,0.006327,66,1.61,139.227272727,139,2.827314325,138
Helicobacter pylori antigen test,1005471000000108,64.000,63.500,41,6480,0.006327,44,1.07,NaN,NaN,NaN,NaN
Seen in maxillofacial unit,248101000000100,81.000,80.000,41,6480,0.006327,62,1.51,,,,
Choose and book referral - defer to provider,1998891000006100,76.000,76.000,41,6480,0.006327,54,1.32,,,,
Ear symptom,315217005,71.000,70.000,41,6480,0.006327,54,1.32,NaN,NaN,NaN,NaN
Urine microscopy: epithelial casts,167337007,70.000,70.000,41,6480,0.006327,72,1.76,,,,
Referral to smoking cessation service declined,871641000000105,71.000,71.000,41,6480,0.006327,41,1,,,,
QRISK3 cardiovascular disease 10 year risk calculator score,1085871000000105,70.000,70.000,41,6480,0.006327,47,1.15,23.06,20.97,12.07108509,10.9
Patient medication advice,394835006,77.000,77.000,41,6480,0.006327,45,1.1,NaN,NaN,,NaN
Clinical history and observation findings,250171008,72.000,71.000,41,6480,0.006327,83,2.02,NaN,NaN,NaN,NaN
Abdominal aortic aneurysm screening,698356002,66.000,65.000,41,6480,0.006327,46,1.12,,,,
Provision of written information about cancer,988781000000100,75.500,75.500,41,6480,0.006327,46,1.12,NaN,NaN,,NaN
Random sample,840671000000108,77.000,77.000,41,6480,0.006327,99,2.41,NaN,NaN,NaN,NaN
Urine glucose test = +++,167266007,74.000,74.000,41,6480,0.006327,45,1.1,NaN,NaN,,NaN
Moderate drinker - 3-6u/day,160576006,71.000,70.000,41,6480,0.006327,43,1.05,NaN,35,NaN,NaN
Lloyd George record received,14361000000109,67.000,66.000,41,6480,0.006327,42,1.02,NaN,NaN,NaN,NaN
Eczema,43116000,61.000,61.000,41,6480,0.006327,69,1.68,NaN,NaN,NaN,NaN
Application of dressing,3895009,82.000,81.000,41,6480,0.006327,139,3.39,NaN,NaN,NaN,NaN
Royal College of Physicians NEWS (national early warning score),859771000000107,75.000,74.500,41,6480,0.006327,52,1.27,0.9038461538,1,1.071184343,0
INR (international normalised ratio) percentage time in therapeutic range,866421000000100,80.000,80.000,41,6480,0.006327,523,12.76,NaN,71.65,NaN,NaN
Seen in fast track suspected colorectal cancer clinic,382651000000108,78.000,77.000,41,6480,0.006327,45,1.1,NaN,NaN,,NaN
Referral to rapid access chest pain clinic,315015006,70.000,70.000,41,6480,0.006327,50,1.22,NaN,NaN,,NaN
Admission avoidance care plan agreed,913681000000100,80.000,79.000,41,6480,0.006327,43,1.05,NaN,NaN,,NaN
Seen by physiotherapist,185285001,75.000,75.000,41,6480,0.006327,43,1.05,NaN,NaN,NaN,NaN
Tired all the time,267032009,74.000,74.000,41,6480,0.006327,49,1.2,NaN,NaN,,NaN
Able to use medication,408365002,75.000,74.000,40,6480,0.006173,41,1.02,NaN,NaN,NaN,NaN
No FH: Ischaemic heart dis <60,857501000006109,66.000,65.000,40,6480,0.006173,42,1.05,NaN,NaN,,NaN
FH: Hypertension,160357008,66.000,65.000,40,6480,0.006173,41,1.02,NaN,NaN,,NaN
Discharge from service,306562009,77.000,77.000,40,6480,0.006173,43,1.08,NaN,NaN,NaN,NaN
Target systolic blood pressure,315612005,73.000,72.000,40,6480,0.006173,40,1,137.368421053,140,11.600142247,140
Plasma viscosity,1022501000000100,66.500,66.500,40,6480,0.006173,66,1.65,1.72265625,1.68,0.1819579769,1.62
Paroxysmal atrial fibrillation,282825002,77.000,76.000,40,6480,0.006173,68,1.7,NaN,NaN,NaN,NaN
Excision of lesion of skin,35646002,78.000,78.000,40,6480,0.006173,45,1.13,NaN,NaN,NaN,NaN
Cystitis,38822007,69.000,69.000,40,6480,0.006173,43,1.08,,,,
On examination - pulse irregularly irregular,163000006,81.000,80.000,40,6480,0.006173,45,1.13,NaN,NaN,NaN,NaN
Inhaler technique not checked,811611000000101,75.000,75.000,40,6480,0.006173,45,1.13,NaN,NaN,NaN,NaN
Seen in nephrology clinic,185250001,75.000,75.000,40,6480,0.006173,75,1.88,NaN,NaN,NaN,NaN
Cardiology referral,904831000006105,78.000,78.000,40,6480,0.006173,45,1.13,NaN,NaN,NaN,NaN
No FH: Cardiovascular disease,160270001,69.500,69.000,40,6480,0.006173,44,1.1,NaN,NaN,,NaN
Angiotensin converting enzyme inhibitor not indicated,134390006,74.500,74.000,40,6480,0.006173,42,1.05,,,,
Blood withdrawal for testing,82078001,71.000,70.000,40,6480,0.006173,59,1.48,NaN,NaN,,NaN
Pure hypercholesterolaemia,267432004,73.000,72.000,40,6480,0.006173,61,1.53,NaN,NaN,NaN,NaN
Faecal occult blood: negative,167667006,69.000,68.000,40,6480,0.006173,41,1.02,NaN,NaN,NaN,NaN
Suspected malignancy,162572001,72.000,71.000,40,6480,0.006173,47,1.18,NaN,NaN,,NaN
Intraocular pressure of right eye,786391000000106,80.000,79.000,40,6480,0.006173,56,1.4,15.153703704,14.5,4.611704263,11
Third party encounter,185318008,76.000,75.000,40,6480,0.006173,52,1.3,NaN,NaN,,NaN
Assessment for dementia,869561000000101,75.000,74.000,40,6480,0.006173,41,1.02,,,,
2 week rule referral - skin,831331000006100,79.000,79.000,40,6480,0.006173,43,1.08,NaN,NaN,,NaN
Red flag symptom,1892611000006103,78.500,77.500,40,6480,0.006173,46,1.15,NaN,NaN,NaN,NaN
Patient information received using general practice online consultation system,149951000000107,76.000,76.000,40,6480,0.006173,140,3.5,NaN,NaN,NaN,NaN
Serum lactate dehydrogenase level,1000921000000108,76.000,75.500,40,6480,0.006173,44,1.1,NaN,365,NaN,417
Mental health review,401061005,67.500,67.000,40,6480,0.006173,50,1.25,NaN,NaN,NaN,NaN
SMS text message received from patient,286261000000101,62.000,61.500,40,6480,0.006173,52,1.3,NaN,NaN,NaN,NaN
Venous blood sampling,28520004,75.000,75.000,39,6480,0.006019,71,1.82,NaN,NaN,NaN,NaN
Post-operative wound care,226007004,74.000,74.000,39,6480,0.006019,65,1.67,NaN,NaN,,NaN
Frequency of blood glucose self-monitoring,768291000000101,76.000,75.000,39,6480,0.006019,45,1.15,5.75,4,6.050658238,7
Haemoglobin A1c (diagnostic reference range),1010951000000100,70.000,69.500,39,6480,0.006019,56,1.44,32,32,,32
Sample microscopy: crystals,999441000000106,67.500,67.500,39,6480,0.006019,64,1.64,16.128813559,0,92.727723509,0
Intraocular pressure of left eye,786381000000109,80.000,79.000,39,6480,0.006019,54,1.38,14.103846154,14,4.58556822,14
Seasonal influenza vaccination given by pharmacist,955691000000108,77.000,76.000,39,6480,0.006019,41,1.05,,,,
Urine glucose not detected,167261002,75.500,74.500,39,6480,0.006019,56,1.44,NaN,NaN,NaN,NaN
Pulse oximetry,431314004,73.000,73.000,39,6480,0.006019,44,1.13,97.130434783,98,1.961083834,98
Health coach initiated encounter,319921000000100,78.000,77.000,39,6480,0.006019,81,2.08,,,,
Medication Reconciliation,430193006,77.000,77.000,39,6480,0.006019,61,1.56,NaN,NaN,NaN,NaN
History/symptoms,160237006,75.000,74.500,39,6480,0.006019,52,1.33,NaN,NaN,NaN,NaN
Dyspepsia,162031009,71.000,71.000,39,6480,0.006019,65,1.67,,,,
O/E - retina normal,163983009,72.000,71.000,39,6480,0.006019,41,1.05,,,,
Initial memory assessment declined,888881000000100,73.000,73.000,39,6480,0.006019,41,1.05,,,,
Neurological referral,183521007,68.000,67.000,39,6480,0.006019,42,1.08,NaN,NaN,NaN,NaN
Medication given,182833002,70.000,69.000,39,6480,0.006019,72,1.85,NaN,NaN,NaN,NaN
Total PSA (prostate specific antigen) level,1006591000000104,74.000,73.000,39,6480,0.006019,45,1.15,3.787,1.3,5.68067325,0.1
Haematocrit - PCV,1022291000000105,59.000,59.000,39,6480,0.006019,48,1.23,5.312520833,0.436,13.095079781,0.4
Beta blocker prophylaxis,315052006,74.000,74.000,39,6480,0.006019,44,1.13,NaN,NaN,NaN,NaN
Examination of foot,284384005,70.000,69.000,39,6480,0.006019,45,1.15,,,,
Read code administration,716481000000102,75.000,75.000,38,6480,0.005864,98,2.58,,,,
Electrolytes level,996581000000109,76.000,75.500,38,6480,0.005864,74,1.95,NaN,NaN,NaN,NaN
2 week rule referral,831241000006103,74.000,73.500,38,6480,0.005864,40,1.05,NaN,NaN,NaN,NaN
Serum parathyroid hormone level,997221000000109,75.000,74.000,38,6480,0.005864,50,1.32,NaN,6.3,NaN,5.1
Asthma monitoring by nurse,401182001,71.000,70.500,38,6480,0.005864,38,1,NaN,NaN,NaN,NaN
O/E - level of fever,164299002,75.000,74.500,38,6480,0.005864,50,1.32,36.594,36.55,0.5654725313,36.5
Trying to give up smoking,160616005,63.000,62.500,38,6480,0.005864,54,1.42,20,20,,20
Referral to community phlebotomist,835351000000103,77.000,77.000,38,6480,0.005864,54,1.42,NaN,NaN,NaN,NaN
O/E - Wound healing well,162868008,81.500,81.000,38,6480,0.005864,74,1.95,NaN,NaN,NaN,NaN
Outpatient letter,823681000000100,76.000,76.000,38,6480,0.005864,103,2.71,NaN,NaN,,NaN
Referred to vascular surgeon,183554009,76.000,75.000,38,6480,0.005864,39,1.03,NaN,NaN,NaN,NaN
Seen by consultant,185293001,73.000,73.000,38,6480,0.005864,60,1.58,NaN,NaN,NaN,NaN
CT of abdomen and pelvis,419394006,78.000,78.000,38,6480,0.005864,39,1.03,NaN,NaN,NaN,NaN
Follow-up consultation,281036007,74.000,74.000,38,6480,0.005864,72,1.89,NaN,NaN,NaN,NaN
Diabetic on insulin,170747006,69.000,68.500,38,6480,0.005864,48,1.26,,,,
GPPAQ hrs in last wk spent gardening/DIY-some but less than 1hr,1746461000006106,73.000,73.000,38,6480,0.005864,39,1.03,,,,
H/O: haematuria,161550001,69.000,69.000,38,6480,0.005864,40,1.05,NaN,NaN,NaN,NaN
Short message service text message sent,711408005,75.000,74.000,38,6480,0.005864,71,1.87,,,,
Patient asked to attend,308722001,74.500,74.000,38,6480,0.005864,50,1.32,,,,
No vomiting,162062008,68.000,68.000,38,6480,0.005864,53,1.39,,,,
"Electrocardiogram, single lead",14431003,79.000,79.000,38,6480,0.005864,51,1.34,NaN,NaN,NaN,NaN
Health education offered,1103841000000106,71.000,71.000,38,6480,0.005864,42,1.11,,,,
Seen in plastic surgery clinic,185239004,72.000,72.000,38,6480,0.005864,55,1.45,,,,
Hospital discharge letter received,911911000000100,73.500,72.500,38,6480,0.005864,52,1.37,NaN,NaN,,NaN
Ultrasound of bilateral kidneys,13301000087109,68.000,68.000,38,6480,0.005864,44,1.16,NaN,NaN,NaN,NaN
Estimated creatinine clearance calculated using actual body weight Cockcroft-Gault formula,1556501000000100,80.000,80.000,38,6480,0.005864,62,1.63,58.055627119,54.4,27.44251163,34.1
Fast track referral for suspected upper gastrointestinal cancer,276551000000108,81.000,81.000,38,6480,0.005864,43,1.13,,,,
Diabetic foot screen,367011000000100,74.500,74.000,38,6480,0.005864,42,1.11,NaN,NaN,NaN,NaN
Statin not tolerated,413174003,75.500,75.000,38,6480,0.005864,42,1.11,,,,
GPPAQ hrs in last week spent walking-some but less than 1hr,1746351000006102,74.000,73.000,38,6480,0.005864,38,1,,,,
