TERM,SNOMED_ID,MEDIAN_SNOMED_AGE,N_PATIENT_COUNT,N_PATIENT_COUNT_TOTAL,PREVALENCE,TOTAL_EVENT_COUNT,AVG_EVENTS_PER_PATIENT,AVG_VALUE,MEDIAN_VALUE,STD_VALUE,FREQ_VALUE
Application of dressing for burn,90660004,69.000,115,277829,0.000414,218,1.9,NaN,NaN,NaN,NaN
"Hypertension, abnormal renal/liver function, stroke, bleeding history or predisposition, labile international normalized ratio, elderly over 65, and drugs/alcohol concomitantly bleeding risk score",704180000,69.000,115,277829,0.000414,130,1.13,1.713445378,2,0.9133588941,1
Electronic Prescription Service exception retraction,1060681000000104,70.000,115,277829,0.000414,120,1.04,NaN,NaN,NaN,NaN
Other otitis externa,3135009,69.000,115,277829,0.000414,137,1.19,NaN,NaN,NaN,NaN
Lifestyle screening,225060009,69.000,115,277829,0.000414,119,1.03,NaN,NaN,NaN,NaN
Thyroid hormone tests normal,269846003,70.000,115,277829,0.000414,126,1.1,NaN,110,NaN,NaN
Foot problem,299478007,69.000,115,277829,0.000414,148,1.29,NaN,NaN,NaN,NaN
European origin,160513005,70.000,115,277829,0.000414,120,1.04,NaN,NaN,NaN,NaN
Chronic anxiety,191708009,69.000,115,277829,0.000414,207,1.8,NaN,NaN,NaN,NaN
Coronary angiogram,33367005,69.000,115,277829,0.000414,121,1.05,NaN,NaN,NaN,NaN
No earache,162357001,70.000,115,277829,0.000414,123,1.07,NaN,NaN,NaN,NaN
Referral to clinical allergy service,306111000,69.000,115,277829,0.000414,142,1.23,NaN,NaN,NaN,NaN
Care home visit,889311000000109,69.000,115,277829,0.000414,412,3.58,NaN,NaN,NaN,NaN
Community disease modifying antirheumatic drug monitoring appointment,717041000000104,69.000,115,277829,0.000414,462,4.02,NaN,NaN,NaN,NaN
Laser trabeculoplasty,172485001,69.000,115,277829,0.000414,135,1.17,NaN,NaN,NaN,NaN
Lumbar radiculopathy,128196005,69.000,115,277829,0.000414,159,1.38,NaN,NaN,NaN,NaN
Drug treatment education,967006,69.000,115,277829,0.000414,164,1.43,NaN,NaN,,NaN
Forced vital capacity (FVC)/expected Forced vital capacity (FVC) percent,407576000,69.000,115,277829,0.000414,127,1.1,88.408,89,18.595479853,104
Test request : Gamma-glutamyl Transferase,109851000006104,69.000,115,277829,0.000414,124,1.08,,,,
Breast lump symptom,162160003,69.000,115,277829,0.000414,165,1.43,NaN,NaN,NaN,NaN
O/E - pulse character normal,163005001,69.000,115,277829,0.000414,161,1.4,,,,
[V]Fitting or adjustment of hearing aid,411511000000107,69.000,115,277829,0.000414,116,1.01,NaN,NaN,NaN,NaN
Unsuitable for QRISK2 cardiovascular disease risk assessment,847201000000103,69.000,115,277829,0.000414,124,1.08,NaN,NaN,NaN,NaN
Type I diabetic dietary review,754101000000103,69.000,115,277829,0.000414,118,1.03,NaN,NaN,NaN,NaN
No aid for walking,165252001,69.000,115,277829,0.000414,123,1.07,NaN,NaN,NaN,NaN
Nurse chaperone,314380009,69.000,115,277829,0.000414,130,1.13,NaN,NaN,NaN,NaN
Neurosurgery referral,904641000006101,69.000,114,277829,0.00041,123,1.08,NaN,NaN,,NaN
Elbow joint pain,202480001,69.000,114,277829,0.00041,149,1.31,NaN,NaN,,NaN
Lacks capacity to give consent (Mental Capacity Act 2005),377301000000106,69.000,114,277829,0.00041,122,1.07,NaN,NaN,NaN,NaN
Chronic obstructive airway disease,13645005,69.000,114,277829,0.00041,230,2.02,NaN,NaN,NaN,NaN
Islam,271390004,69.000,114,277829,0.00041,121,1.06,NaN,NaN,NaN,NaN
Right posterior tibial pulse impalpable,915171000000106,69.000,114,277829,0.00041,115,1.01,NaN,NaN,NaN,NaN
Hepatitis B screening test,1009271000000109,69.000,114,277829,0.00041,121,1.06,NaN,NaN,NaN,NaN
Palliative care,103735009,70.000,114,277829,0.00041,219,1.92,NaN,NaN,NaN,NaN
Pelvic X-ray,268425006,69.000,114,277829,0.00041,116,1.02,NaN,NaN,NaN,NaN
X-ray shaft of tibia/fibula,268427003,69.000,114,277829,0.00041,114,1,NaN,NaN,NaN,NaN
Main spoken language Tamil,315587001,69.000,114,277829,0.00041,129,1.13,NaN,NaN,NaN,NaN
Referral to endocrinologist,306278007,69.000,114,277829,0.00041,123,1.08,NaN,NaN,NaN,NaN
Laboratory test requested - not done,165343008,69.000,114,277829,0.00041,124,1.09,NaN,0,NaN,0
Cervical cytology test,1020451000000104,69.000,114,277829,0.00041,122,1.07,NaN,NaN,NaN,NaN
O/E - visual acuity R-eye=6/4,390803003,69.000,114,277829,0.00041,116,1.02,NaN,NaN,NaN,NaN
Perennial allergic rhinitis,446096008,69.000,114,277829,0.00041,143,1.25,NaN,NaN,NaN,NaN
Venous blood specimen,122555007,69.000,114,277829,0.00041,208,1.82,NaN,NaN,NaN,NaN
Female rectocele without uterine prolapse,62730001,69.000,114,277829,0.00041,151,1.32,NaN,NaN,,NaN
Adverse reaction to Tramadol Hydrochloride,1073551000006100,69.000,114,277829,0.00041,117,1.03,,,,
New patient screening administration,715031000000101,69.000,114,277829,0.00041,133,1.17,NaN,NaN,,NaN
Positive reversibility test to corticosteroids,391122001,69.000,114,277829,0.00041,124,1.09,NaN,NaN,,NaN
Podiatry,1620871000006105,69.000,113,277829,0.000407,131,1.16,NaN,NaN,NaN,NaN
Finger trigger,1539003,69.000,113,277829,0.000407,135,1.19,NaN,NaN,NaN,NaN
Sleep disturbance,44186003,69.000,113,277829,0.000407,150,1.33,NaN,NaN,NaN,NaN
Referred to Physiotherapy Service,1775531000006109,69.000,113,277829,0.000407,116,1.03,NaN,NaN,NaN,NaN
Menopause,289903006,69.000,113,277829,0.000407,172,1.52,NaN,NaN,NaN,NaN
Telephone call to relative/carer,1672891000006106,69.000,113,277829,0.000407,137,1.21,NaN,NaN,NaN,NaN
Drug Rx stopped-medical advice,182840001,69.000,113,277829,0.000407,120,1.06,NaN,NaN,,NaN
Health assessment questionnaire,273510007,69.000,113,277829,0.000407,121,1.07,NaN,17,NaN,17
Patient address validated,1583791000006109,69.000,113,277829,0.000407,126,1.12,NaN,NaN,NaN,NaN
Cerebral infarction,432504007,69.000,113,277829,0.000407,199,1.76,NaN,NaN,NaN,NaN
Left posterior tibial pulse impalpable,915231000000101,69.000,113,277829,0.000407,116,1.03,NaN,NaN,NaN,NaN
US scan of shoulder joint,241497006,69.000,113,277829,0.000407,118,1.04,NaN,NaN,NaN,NaN
Respiratory symptom,161920001,69.000,113,277829,0.000407,164,1.45,NaN,NaN,NaN,NaN
Cancer education,243072006,70.000,113,277829,0.000407,250,2.21,NaN,NaN,NaN,NaN
Visual impairment,397540003,69.000,113,277829,0.000407,133,1.18,NaN,NaN,NaN,NaN
Continence assessment,416686006,69.000,113,277829,0.000407,173,1.53,NaN,NaN,NaN,NaN
Mental health monitoring SMS (short message service) text invitation,1084191000000101,69.000,113,277829,0.000407,150,1.33,NaN,NaN,NaN,NaN
Safe sex education,982911000006104,69.000,113,277829,0.000407,120,1.06,NaN,NaN,NaN,NaN
Complement test,996971000000101,69.000,113,277829,0.000407,116,1.03,NaN,NaN,NaN,NaN
O/E - antalgic gait,948391000000106,69.000,113,277829,0.000407,115,1.02,NaN,NaN,NaN,NaN
Spirometry screening invitation,894821000000107,69.000,113,277829,0.000407,132,1.17,NaN,NaN,NaN,NaN
[RFC] Reason for care : Wound management,907871000006103,69.000,113,277829,0.000407,310,2.74,NaN,NaN,NaN,NaN
Nutritional assessment completed,391132008,69.000,113,277829,0.000407,114,1.01,NaN,NaN,NaN,NaN
Excepted from mental health quality indicators - patient unsuitable,716301000000102,70.000,112,277829,0.000403,116,1.04,NaN,NaN,NaN,NaN
Referral to community dietician,306353006,69.000,112,277829,0.000403,117,1.04,NaN,NaN,NaN,NaN
Radiculopathy,72274001,69.000,112,277829,0.000403,141,1.26,NaN,NaN,NaN,NaN
Clinical procedure report,1712911000006105,70.000,112,277829,0.000403,126,1.13,NaN,NaN,NaN,NaN
No longer housebound,760661000000106,69.000,112,277829,0.000403,113,1.01,NaN,NaN,NaN,NaN
Metamyelocyte count,1022631000000107,69.000,112,277829,0.000403,132,1.18,NaN,0,NaN,0
Has an informal carer,751311000000102,69.000,112,277829,0.000403,124,1.11,NaN,NaN,NaN,NaN
Dietary history,162512009,69.000,112,277829,0.000403,122,1.09,,,,
Faint symptom,248229009,69.000,112,277829,0.000403,154,1.38,NaN,NaN,NaN,NaN
Osteoarthritis of foot joint,309246000,69.000,112,277829,0.000403,130,1.16,NaN,NaN,NaN,NaN
No respiratory symptoms,161962008,69.000,112,277829,0.000403,228,2.04,NaN,NaN,NaN,NaN
Health coach,432100008,69.000,112,277829,0.000403,239,2.13,NaN,NaN,NaN,NaN
Referral to community rapid response team,353961000000104,69.000,112,277829,0.000403,144,1.29,NaN,NaN,NaN,NaN
Other acquired hypothyroidism,111566002,69.000,112,277829,0.000403,594,5.3,NaN,NaN,NaN,NaN
Dry skin,982421000006100,69.000,112,277829,0.000403,172,1.54,NaN,NaN,NaN,NaN
H/O: eczema,161561009,69.000,112,277829,0.000403,137,1.22,NaN,NaN,NaN,NaN
Free milk and vitamins,161027001,70.000,112,277829,0.000403,155,1.38,,,,
Smoking cessation therapy,710081004,70.000,112,277829,0.000403,139,1.24,NaN,NaN,NaN,NaN
Granulation of tissue,225541009,70.000,112,277829,0.000403,354,3.16,NaN,100,NaN,100
Excepted from asthma quality indicators - patient unsuitable,717291000000103,69.000,112,277829,0.000403,112,1,NaN,NaN,NaN,NaN
Falls risk assessment complete,93001000000106,69.000,112,277829,0.000403,117,1.04,NaN,2.5,NaN,NaN
Blood calcium level,1027931000000101,69.000,112,277829,0.000403,123,1.1,NaN,2.34,NaN,2.34
US scan of abdomen and pelvis,418394000,69.000,112,277829,0.000403,114,1.02,NaN,NaN,NaN,NaN
O/E - a rash,271807003,69.000,112,277829,0.000403,139,1.24,NaN,NaN,NaN,NaN
Unintentional weight loss,448765001,69.000,111,277829,0.0004,139,1.25,NaN,NaN,NaN,NaN
Small vessel cerebrovascular disease,443929000,69.000,111,277829,0.0004,136,1.23,NaN,NaN,,NaN
Follow-up respiratory assessment,170609005,69.000,111,277829,0.0004,153,1.38,NaN,NaN,NaN,NaN
Resection of polyp,82035006,69.000,111,277829,0.0004,118,1.06,NaN,NaN,NaN,NaN
Hydrocele,386152007,69.000,111,277829,0.0004,162,1.46,NaN,NaN,NaN,NaN
Joint British Societies cardiovascular disease 10 yr risk score,987501000006108,69.000,111,277829,0.0004,133,1.2,23.448295455,21.475,12.685940328,31.71
Request for access to Patient Facing Service,936541000000109,69.000,111,277829,0.0004,117,1.05,NaN,NaN,NaN,NaN
Seen by Parkinson's disease service,907151000000108,69.000,111,277829,0.0004,179,1.61,NaN,NaN,NaN,NaN
Repair of umbilical hernia,44946007,70.000,111,277829,0.0004,137,1.23,NaN,NaN,NaN,NaN
Feels off balance,249983008,69.000,111,277829,0.0004,146,1.32,NaN,NaN,NaN,NaN
Discomfort,247347003,69.000,111,277829,0.0004,120,1.08,NaN,NaN,NaN,NaN
Observation of Waterlow pressure sore risk score,201221000000101,69.000,111,277829,0.0004,318,2.86,16.057142857,16,6.214573848,19
Sticky eye,246679005,69.000,111,277829,0.0004,127,1.14,NaN,NaN,NaN,NaN
Right Foot Low Current Risk,163061000006106,69.000,111,277829,0.0004,114,1.03,NaN,NaN,NaN,NaN
FEV1/VC ratio,251943006,69.500,111,277829,0.0004,112,1.01,67.219285714,72.1,20.916223055,73
Patient telephone number validated,1909401000006104,69.000,110,277829,0.000396,144,1.31,NaN,NaN,,NaN
Flatulent dyspepsia,249511005,69.000,110,277829,0.000396,129,1.17,NaN,NaN,NaN,NaN
Injury of wrist,125598003,69.000,110,277829,0.000396,132,1.2,NaN,NaN,NaN,NaN
Atrophy of vagina,297147009,69.000,110,277829,0.000396,134,1.22,NaN,NaN,NaN,NaN
[X]Anxiety NOS,197480006,69.000,110,277829,0.000396,163,1.48,NaN,NaN,NaN,NaN
Postherpetic neuralgia,2177002,69.000,110,277829,0.000396,170,1.55,NaN,NaN,NaN,NaN
Ongoing episode,303350001,69.000,110,277829,0.000396,141,1.28,NaN,NaN,NaN,NaN
Duodenal ulcer,51868009,69.000,110,277829,0.000396,181,1.65,NaN,NaN,NaN,NaN
Total notes on computer,184231009,69.000,110,277829,0.000396,114,1.04,NaN,NaN,NaN,NaN
Colorectal surgery,408464004,69.000,110,277829,0.000396,161,1.46,NaN,NaN,NaN,NaN
Adult safeguarding concern,766561000000109,69.000,110,277829,0.000396,152,1.38,NaN,NaN,NaN,NaN
Point of care D-dimer assay negative,504811000000104,69.000,110,277829,0.000396,114,1.04,NaN,NaN,NaN,NaN
Agreeing on care plan,288834001,69.000,110,277829,0.000396,186,1.69,NaN,NaN,NaN,NaN
Serum vitamin B12 below reference range,165645009,69.000,110,277829,0.000396,143,1.3,NaN,NaN,NaN,NaN
Six item CIT,143171000006109,69.000,110,277829,0.000396,110,1,4.317757009,2,6.329920162,0
Clinical trial administration,714561000000103,70.000,110,277829,0.000396,155,1.41,NaN,NaN,NaN,NaN
Telephone consultation for suspected 2019-nCoV (novel coronavirus),1240451000000106,69.000,110,277829,0.000396,114,1.04,NaN,NaN,NaN,NaN
Ulcer of mouth,26284000,70.000,110,277829,0.000396,155,1.41,NaN,NaN,NaN,NaN
No bleeding symptom on anticoagulation therapy,801101000000107,69.000,110,277829,0.000396,660,6,NaN,NaN,NaN,NaN
eFI2 (Electronic Frailty Index 2) score,1423641000000104,69.000,110,277829,0.000396,112,1.02,0.1037142857,0.089,0.08014012824,0
Health education - subject NOS,385827001,69.500,110,277829,0.000396,132,1.2,NaN,NaN,NaN,NaN
Allergic rhinitis due to pollens,21719001,69.000,110,277829,0.000396,125,1.14,NaN,NaN,NaN,NaN
Painless rectal bleeding,414992000,69.000,110,277829,0.000396,178,1.62,NaN,NaN,NaN,NaN
Request received for letter,794541000000100,69.000,110,277829,0.000396,117,1.06,NaN,NaN,NaN,NaN
Anti mitochondrial antibody titre,1017851000000109,69.000,110,277829,0.000396,113,1.03,NaN,NaN,NaN,NaN
Cardiac enzymes,1000871000000104,69.000,109,277829,0.000392,135,1.24,NaN,NaN,NaN,NaN
Care from friends,183436007,69.000,109,277829,0.000392,111,1.02,NaN,NaN,NaN,NaN
Heavy drinker - 7-9u/day,160577002,69.000,109,277829,0.000392,114,1.05,NaN,NaN,NaN,NaN
Osteoarthritis of shoulder,67315001,70.000,109,277829,0.000392,140,1.28,NaN,NaN,,NaN
Ear care follow-up assessment,852761000000107,69.000,109,277829,0.000392,131,1.2,NaN,NaN,,NaN
Epley manoeuvre,196470000,69.000,109,277829,0.000392,113,1.04,NaN,NaN,NaN,NaN
Consent to share demographic information for retinal screening implied,305441000000101,69.000,109,277829,0.000392,119,1.09,NaN,NaN,,NaN
Mumps non-immune,371063000,69.500,109,277829,0.000392,172,1.58,NaN,NaN,NaN,NaN
Frequency of general practitioner treated hypoglycaemia attack,712658007,69.000,109,277829,0.000392,113,1.04,0,0,0,0
O/E - SLR reduced on right,164571007,69.000,109,277829,0.000392,110,1.01,NaN,NaN,NaN,NaN
ESR raised,165468009,69.000,109,277829,0.000392,160,1.47,NaN,NaN,NaN,NaN
Supportive care,243114000,69.000,109,277829,0.000392,161,1.48,NaN,NaN,NaN,NaN
O/E - tympanic membrane,268979005,69.000,109,277829,0.000392,127,1.17,NaN,NaN,NaN,NaN
"Acute meniscal tear, medial",269113006,69.000,109,277829,0.000392,136,1.25,NaN,NaN,NaN,NaN
Rockwood Clinical Frailty Scale level 4 - vulnerable,1129361000000106,69.000,109,277829,0.000392,115,1.06,NaN,NaN,NaN,NaN
Support for self-management,733810001,69.000,109,277829,0.000392,120,1.1,NaN,NaN,NaN,NaN
Consent to share clinical information for retinal screening inferred,305531000000106,69.000,109,277829,0.000392,119,1.09,NaN,NaN,NaN,NaN
Miscellaneous imaging procedures,168996007,69.000,109,277829,0.000392,113,1.04,NaN,NaN,NaN,NaN
Computed tomography angiography of coronary arteries,419545005,69.000,109,277829,0.000392,120,1.1,NaN,NaN,NaN,NaN
No exudate,1997181000006106,70.000,109,277829,0.000392,201,1.84,NaN,NaN,NaN,NaN
Bladder: incontinent,165232002,69.000,109,277829,0.000392,117,1.07,NaN,NaN,NaN,NaN
Pain in face,95668009,69.000,109,277829,0.000392,134,1.23,NaN,NaN,NaN,NaN
Well nourished,248324001,69.000,109,277829,0.000392,126,1.16,NaN,NaN,NaN,NaN
Seen in community diabetic specialist nurse clinic,416696002,69.000,109,277829,0.000392,167,1.53,NaN,NaN,NaN,NaN
Lumbar spine dual energy X-ray photon absorptiometry scan Z score,1083511000000102,69.000,109,277829,0.000392,112,1.03,0.3471910112,0.1,1.594599543,-0.3
Brief intervention for excessive alcohol consumption declined,379411000000105,69.000,109,277829,0.000392,111,1.02,NaN,NaN,NaN,NaN
Neck sprain,209557005,69.000,108,277829,0.000389,127,1.18,NaN,NaN,NaN,NaN
Cholesterol reduction programme,310876000,70.000,108,277829,0.000389,287,2.66,NaN,NaN,NaN,NaN
Checking dressing of skin,225143001,69.000,108,277829,0.000389,153,1.42,NaN,NaN,NaN,NaN
Discharge to home,306689006,69.000,108,277829,0.000389,123,1.14,NaN,NaN,NaN,NaN
Seen in asthma clinic,185242005,69.000,108,277829,0.000389,137,1.27,NaN,NaN,NaN,NaN
Signposting to community exercise group,1083201000000102,69.000,108,277829,0.000389,110,1.02,NaN,NaN,NaN,NaN
Nasal symptom,249307003,69.000,108,277829,0.000389,126,1.17,NaN,NaN,NaN,NaN
Seen in virtual clinic,2004011000006104,69.000,108,277829,0.000389,158,1.46,NaN,NaN,NaN,NaN
Acute infective exacerbation of chronic obstructive airways disease,285381006,69.000,108,277829,0.000389,138,1.28,NaN,NaN,NaN,NaN
Seen in bariatric surgery clinic,705062002,69.000,108,277829,0.000389,142,1.31,NaN,NaN,NaN,NaN
Signposting to smoking cessation service,1084381000000100,69.000,108,277829,0.000389,113,1.05,NaN,NaN,NaN,NaN
Lives in house,242711000000100,69.000,108,277829,0.000389,112,1.04,NaN,NaN,NaN,NaN
Impaired glucose tolerance test,166927002,69.000,108,277829,0.000389,136,1.26,NaN,NaN,NaN,NaN
Practice leaflet sent,183102005,70.000,108,277829,0.000389,109,1.01,NaN,NaN,NaN,NaN
Arthroplasty of knee,19063003,69.000,108,277829,0.000389,160,1.48,NaN,NaN,NaN,NaN
Adverse reaction to drug,62014003,69.000,108,277829,0.000389,113,1.05,NaN,NaN,NaN,NaN
Weight-reducing diet education,266724001,70.000,108,277829,0.000389,121,1.12,NaN,NaN,NaN,NaN
Framingham cardiovascular disease 10 year risk score,1002191000006103,69.000,108,277829,0.000389,216,2,23.31545283,22.1,8.435796957,20
Visual symptoms,162274004,69.000,108,277829,0.000389,150,1.39,NaN,NaN,NaN,NaN
Medication review with carer,1920671000006105,69.000,108,277829,0.000389,109,1.01,NaN,NaN,NaN,NaN
"External haemorrhoids, simple",195457004,69.000,108,277829,0.000389,124,1.15,NaN,NaN,NaN,NaN
No abdominal pain,162037008,69.000,108,277829,0.000389,112,1.04,NaN,NaN,NaN,NaN
Dyslipidaemia,370992007,69.000,108,277829,0.000389,126,1.17,NaN,NaN,NaN,NaN
Non-cardiac chest pain,274668005,70.000,108,277829,0.000389,125,1.16,NaN,NaN,NaN,NaN
Telephone consultation,24681000000104,69.000,108,277829,0.000389,156,1.44,NaN,NaN,NaN,NaN
Admission by Accident and Emergency doctor,305226003,69.000,108,277829,0.000389,134,1.24,NaN,NaN,,NaN
FH: Senile dementia,160325007,69.000,108,277829,0.000389,111,1.03,NaN,NaN,NaN,NaN
Renal disorder medication review,473231009,69.000,108,277829,0.000389,114,1.06,NaN,NaN,NaN,NaN
Seen in minor eye conditions clinic,1994321000006101,69.000,108,277829,0.000389,123,1.14,NaN,NaN,,NaN
Osteoarthritis of ankle,239874001,69.000,107,277829,0.000385,133,1.24,NaN,NaN,NaN,NaN
Osteoarthritis of lumbar spine,1343605000,69.000,107,277829,0.000385,134,1.25,NaN,NaN,NaN,NaN
Repeat prescription card status,307895001,69.000,107,277829,0.000385,215,2.01,NaN,NaN,NaN,NaN
Therapeutic procedure,277132007,69.000,107,277829,0.000385,124,1.16,NaN,NaN,NaN,NaN
Taxi cab driver med completed,184940001,69.000,107,277829,0.000385,109,1.02,NaN,NaN,NaN,NaN
O/E - reflexes normal,163781003,69.000,107,277829,0.000385,108,1.01,NaN,NaN,NaN,NaN
Check cystoscopy using flexible instrument,176187002,69.000,107,277829,0.000385,110,1.03,NaN,NaN,NaN,NaN
Clinical report documentation,423876004,69.000,107,277829,0.000385,271,2.53,NaN,NaN,NaN,NaN
Lipoma (clinical),93163002,69.000,107,277829,0.000385,134,1.25,NaN,NaN,NaN,NaN
Acute gastritis,25458004,69.000,107,277829,0.000385,148,1.38,NaN,NaN,NaN,NaN
Haemangioma,400210000,69.000,107,277829,0.000385,141,1.32,NaN,NaN,NaN,NaN
Patient failed to respond to appointment opt-in letter,352011000000106,69.000,107,277829,0.000385,109,1.02,NaN,NaN,,NaN
Discussion about disorder,223471001,69.000,107,277829,0.000385,130,1.21,NaN,NaN,NaN,NaN
Lipid lowering therapy indicated,135797000,70.000,107,277829,0.000385,110,1.03,NaN,NaN,,NaN
Breast examination,46662001,69.000,107,277829,0.000385,121,1.13,NaN,NaN,NaN,NaN
Left Foot Low Current Risk,748681000006102,69.000,107,277829,0.000385,110,1.03,NaN,NaN,NaN,NaN
"[D]Lump, localised and superficial",496501000000102,69.000,107,277829,0.000385,117,1.09,NaN,NaN,NaN,NaN
Provision of continuity of care,423215004,70.000,107,277829,0.000385,123,1.15,NaN,NaN,NaN,NaN
Less than 150 minutes of moderate intensity physical activity per week,963071000000109,69.000,107,277829,0.000385,110,1.03,NaN,NaN,NaN,NaN
Plasma lipids,1003431000000105,69.000,107,277829,0.000385,123,1.15,NaN,NaN,NaN,NaN
Enteric campylobacteriosis,18081009,69.000,107,277829,0.000385,129,1.21,NaN,NaN,NaN,NaN
Military veteran,753651000000107,69.000,106,277829,0.000382,115,1.08,NaN,NaN,NaN,NaN
Ureteric stone,386104002,70.000,106,277829,0.000382,147,1.39,NaN,NaN,NaN,NaN
Has applied for firearm certificate,1366291000000101,70.000,106,277829,0.000382,127,1.2,NaN,NaN,NaN,NaN
Removal of skin closure material from skin,265687005,69.000,106,277829,0.000382,113,1.07,NaN,NaN,NaN,NaN
Advance care plan,736366004,69.000,106,277829,0.000382,109,1.03,NaN,NaN,NaN,NaN
General practitioner assessment of cognition informant score,756501000000101,69.000,106,277829,0.000382,107,1.01,3.5,4,2.298163049,6
Cholesterol test declined,203151000000104,70.000,106,277829,0.000382,107,1.01,NaN,NaN,,NaN
Femoral neck dual energy X-ray photon absorptiometry scan T score,440050006,69.000,106,277829,0.000382,108,1.02,NaN,-1.7,NaN,-1.5
Cervix transformation zone visualised,432043003,69.000,106,277829,0.000382,108,1.02,NaN,NaN,NaN,NaN
Throat examination normal,164180001,69.000,106,277829,0.000382,112,1.06,NaN,NaN,NaN,NaN
Tonsillitis,90176007,69.000,106,277829,0.000382,110,1.04,NaN,NaN,NaN,NaN
PSA (prostate specific antigen) monitored in primary care,1822111000006103,69.000,106,277829,0.000382,152,1.43,NaN,NaN,NaN,NaN
O/E - breathing description,268927009,70.000,106,277829,0.000382,191,1.8,,,,
No general symptom,161915001,69.000,106,277829,0.000382,279,2.63,,,,
Speciality referrals,904531000006107,69.000,106,277829,0.000382,162,1.53,NaN,NaN,,NaN
Echocardiogram shows normal left ventricular function,414072005,69.000,106,277829,0.000382,110,1.04,NaN,NaN,NaN,NaN
Metabolic monitoring,182778005,70.000,106,277829,0.000382,140,1.32,NaN,NaN,NaN,NaN
Referred to hepatology service,247731000000106,69.000,106,277829,0.000382,131,1.24,NaN,NaN,NaN,NaN
Well-being assessment for long term conditions reviewed,756261000000100,70.000,106,277829,0.000382,277,2.61,NaN,NaN,NaN,NaN
Corn,201038005,69.000,106,277829,0.000382,117,1.1,NaN,NaN,NaN,NaN
Phacoemulsification of lens and insertion of intraocular lens,401306006,69.000,106,277829,0.000382,130,1.23,NaN,NaN,NaN,NaN
Discharge from advanced primary nurse care,818941000000102,69.000,106,277829,0.000382,128,1.21,NaN,NaN,NaN,NaN
Serum antinuclear antibody pattern,1012931000000108,69.000,106,277829,0.000382,111,1.05,NaN,NaN,NaN,NaN
Herpes simplex,88594005,69.000,105,277829,0.000378,120,1.14,NaN,NaN,NaN,NaN
Smoking cessation milestones,390900001,69.000,105,277829,0.000378,267,2.54,NaN,NaN,NaN,NaN
Appropriate use of accident and emergency service,920911000000100,69.000,105,277829,0.000378,128,1.22,NaN,NaN,NaN,NaN
Healthy lifestyle programme status,377501000000102,69.000,105,277829,0.000378,186,1.77,NaN,NaN,NaN,NaN
Benign neoplasm of skin,92384009,69.000,105,277829,0.000378,123,1.17,NaN,NaN,NaN,NaN
Lifetime non-drinker of alcohol,783261004,70.000,105,277829,0.000378,109,1.04,NaN,NaN,NaN,NaN
Bill/fee sent,2461000000106,69.000,105,277829,0.000378,113,1.08,NaN,NaN,,NaN
Uses dispensed monitored dosage system,865301000000107,69.000,105,277829,0.000378,118,1.12,NaN,NaN,NaN,NaN
Tubular adenoma - category,443897009,69.000,105,277829,0.000378,125,1.19,NaN,NaN,NaN,NaN
Signposting to general practice based physiotherapist,1085201000000103,70.000,105,277829,0.000378,130,1.24,NaN,NaN,NaN,NaN
H/O long term condition,836341000000105,70.000,105,277829,0.000378,105,1,,,,
Myocardial perfusion scan,252432008,69.000,105,277829,0.000378,109,1.04,NaN,NaN,NaN,NaN
Disorder of the genitourinary system,42030000,69.000,105,277829,0.000378,284,2.7,NaN,NaN,NaN,NaN
DXA scan T score,440035002,69.000,105,277829,0.000378,108,1.03,NaN,-1.75,NaN,NaN
Bladder outflow obstruction,236645006,69.000,105,277829,0.000378,122,1.16,NaN,NaN,NaN,NaN
H/O: repeat medication,161656000,69.000,105,277829,0.000378,113,1.08,NaN,NaN,,NaN
Joint consultation with General Practitioner and community diabetes specialist nurse,956921000000109,69.000,105,277829,0.000378,128,1.22,NaN,NaN,,NaN
Serum cholesterol normal,166828006,69.000,105,277829,0.000378,112,1.07,4.200185185,4.5,1.540522444,4.7
Date of onset of symptoms,520191000000103,69.000,105,277829,0.000378,124,1.18,NaN,NaN,NaN,NaN
Difficulty performing personal care activity,284778005,69.000,105,277829,0.000378,127,1.21,NaN,NaN,NaN,NaN
Patellofemoral osteoarthritis,450521003,69.000,105,277829,0.000378,136,1.3,NaN,NaN,NaN,NaN
Referral to clinical assessment service,276011000000104,69.000,105,277829,0.000378,118,1.12,NaN,NaN,NaN,NaN
Diabetic on oral treatment and glucagon-like peptide 1 receptor agonist,976341000000101,69.000,105,277829,0.000378,116,1.1,,,,
Neutropenia,165517008,69.000,105,277829,0.000378,145,1.38,NaN,NaN,NaN,NaN
Screening invite - not replied,171105009,69.000,105,277829,0.000378,111,1.06,NaN,NaN,NaN,NaN
Cramp,55300003,69.000,104,277829,0.000374,154,1.48,NaN,NaN,NaN,NaN
High vaginal swab culture,1011061000000106,69.000,104,277829,0.000374,113,1.09,NaN,NaN,NaN,NaN
Immunisation consent not given,310376006,69.000,104,277829,0.000374,115,1.11,NaN,NaN,NaN,NaN
Choice appointment letter sent,1840581000006102,69.000,104,277829,0.000374,129,1.24,,,,
O/E - visual acuity R-eye=6/36,163942006,69.000,104,277829,0.000374,112,1.08,NaN,NaN,NaN,NaN
Nasendoscopy,1217361008,69.000,104,277829,0.000374,113,1.09,NaN,NaN,NaN,NaN
O/E - no guarding on palpation,163225008,69.000,104,277829,0.000374,115,1.11,NaN,NaN,NaN,NaN
